Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.87143694070957,-5.77772470687434,9.68959249191211,6.98703932576051,7.58397112433558
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,29581.5185513299,26984.2962770279,30488.8209528797,29674.5442864413,32676.9837109377
Spain,ESP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.25463175469125,-11.6001893006088,6.29065944452751,4.96805124372999,1.24249543271571
Spain,ESP,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,28087.8979203438,24829.6485910222,26391.5972251563,27702.7452993409,28046.9506444221
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1394320055129.41,1278128867875.49,1445651653604.63,1417800466262.65,1580694712515.71
Spain,ESP,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1323918490148.05,1176072568933.59,1251378537358.98,1323591183845.31,1356724567298.05
Spain,ESP,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.44735843001939,1.13764340211205,2.65632420170878,4.14232319860571,5.92778493198469
Spain,ESP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.699518994458739,-0.322753017299739,3.0931351197642,8.39057634118627,3.53236133492433
Spain,ESP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.104,15.532,14.781,12.917,12.144
Spain,ESP,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,32.532,38.263,34.796,29.761,28.666
Spain,ESP,External balance on goods and services (current US$),NE.RSB.GNFS.CD,40991798125.4901,18392783942.4125,13900746864.3409,17178382433.8522,65179954131.3737
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.9839662230883,-11.1672978596983,6.40317361484541,5.77064767618052,2.50329435985475
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,55049.571919719,51868.2475567823,60697.2454358579,65077.676668821,64711.7656030565
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.682490945150491,-1.55643630102695,1.96806164574946,2.95032558403243,0.603284935712949
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,59000.7354442453,58082.4265799182,59225.5245403582,60972.8703431498,61340.7104848018
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1394671325960.57,1330381544909.3,1559033756285.13,1692956646855.7,1723827215334.71
Australia,AUS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1494773366351.99,1489770563790.11,1521231998735.21,1586172577281.96,1634027215240.65
